method,stress,max_h,jf,iou,boundary_f,ops,vanish,hallucination,split,mce,uec,ece_iou50,selective_jf_80,n_samples
SafeObjWorld-R,clean,5,0.6643805099294362,0.6334879980058297,0.6952730218530425,0.9575135443398916,0.0226404334188765,0.0030795551753635,0.276475620188195,0.0029501878377922,0.2161708388431686,0.2392141919751979,0.675437331199646,3507
ConvLSTM,clean,10,0.5399808571738327,0.5354404677515584,0.5445212465961069,0.9070137157107232,0.0466022443890274,0.0057668329177057,0.2646508728179551,0.0024811851650356,,0.3898504788367231,0.5347964763641357,3208
deterministic,clean,10,0.5380244352812745,0.5351130584139547,0.5409358121485943,0.911845386533666,0.0444201995012468,0.0058915211970074,0.2308915211970074,0.0018278946494923,,0.393625883878838,0.5314640402793884,3208
deterministic,clean,5,0.6684034873592523,0.6395617628836414,0.6972452118348629,0.9550042771599658,0.0257770173937838,0.0026233247790134,0.2837182777302537,0.0028585407487187,,0.2316099696938455,0.6618683934211731,3507
SafeObjWorld-R,clean,10,0.5396114943936091,0.533460965222969,0.5457620235642494,0.915430174563591,0.0407730673316708,0.0066708229426433,0.2738778054862842,0.0026079144590256,0.1437348151831637,0.3933110241302082,0.5537999868392944,3208
w/o stress,clean,10,0.5459932957284795,0.5372489131133138,0.5547376783436452,0.9122506234413964,0.0432044887780548,0.0062032418952618,0.3002493765586035,0.002794566879734,0.165687846542658,0.3867514239972517,0.5614064931869507,3208
w/o stress,clean,5,0.6768074864160838,0.6421965495696809,0.7114184232624868,0.9609923011120616,0.0193897918448816,0.0039349871685201,0.2753350441973196,0.0028138151550872,0.2059721053074849,0.2316927069675422,0.688389003276825,3507
w/o split,clean,10,0.5429286209951563,0.5348631904565941,0.5509940515337184,0.9160536159600996,0.0391209476309226,0.0069513715710723,0.2700436408977556,0.0026595998900304,0.1657229623259087,0.3924691064176416,0.5564733743667603,3208
w/o split,clean,5,0.6699855209401435,0.635650896248578,0.7043201456317089,0.9584830339321356,0.0197319646421442,0.0039920159680638,0.282406615340747,0.0028983871523371,0.2267094265694398,0.2406191996437618,0.6832695603370667,3507
Copy-last,clean,5,0.6267042922433199,0.5646566328699503,0.6887519516166893,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,,0.3661819100379944,0.6213588714599609,3507
Flow + fallback,clean,10,0.5454785347705556,0.4960443287293223,0.594912740811789,0.8716645885286783,0.0588840399002493,0.0084788029925187,0.5227244389027431,0.0014340785144056,,0.4746259450912475,0.5383529663085938,3208
Flow + fallback,clean,5,0.6756083842759751,0.6069984018668083,0.744218366685142,0.9276304533789564,0.0288565725691474,0.0051325919589392,0.5182207014542344,0.0034445075827978,,0.3045908212661743,0.6695379614830017,3507
Flow-warp,clean,10,0.5314707997926593,0.4826991642889011,0.5802424352964175,0.8630299251870324,0.0641521197007481,0.0084164588528678,0.5971945137157108,0.0015035365284856,,0.4901807904243469,0.5243740081787109,3208
ConvLSTM + stress,clean,10,0.538377153402537,0.5328641279672546,0.5438901788378194,0.9063279301745636,0.047288029925187,0.0058291770573566,0.2756234413965087,0.0023852083391459,,0.3936419881787383,0.5348479747772217,3208
ConvLSTM,clean,5,0.6744766635561769,0.6434221531159178,0.7055311739964358,0.9537496435700028,0.0271457085828343,0.0023381807812945,0.2934131736526946,0.0031176162495082,,0.2296812192748542,0.667464554309845,3507
ConvLSTM + stress,clean,5,0.6700210798900075,0.639654251131725,0.70038790864829,0.9550613059595096,0.0255489021956087,0.0026803535785571,0.2819503849443969,0.002992841972984,,0.2333449084499741,0.6630735397338867,3507
Copy-last,clean,10,0.5144217110906346,0.4670797084557972,0.5617637137254718,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0,,0.5206982493400574,0.5103079676628113,3208
Flow-warp,clean,5,0.6682940751191091,0.6005106884085635,0.7360774618296548,0.9255774165953806,0.0301112061591103,0.0051325919589392,0.5376675220986599,0.0015904295542703,,0.3141716718673706,0.6622976064682007,3507
Object-token,clean,10,0.2845571249859662,0.3288203451742073,0.2402939047977252,0.856140897755611,0.0547069825436409,0.0083229426433915,0.1246882793017456,0.0135352531273401,-0.2267991031775036,0.770326842397377,0.2808734774589538,3208
Object-token,clean,5,0.3360089353539298,0.3734171361786249,0.2986007345292346,0.8853721129170231,0.0444824636441402,0.0038779583689763,0.0571428571428571,0.0149066744041288,-0.2779027667091502,0.7037347862242564,0.3331754803657532,3507
Linear centroid,clean,10,0.5258047049854141,0.4806227857749867,0.5709866241958417,0.8610660847880299,0.0646197007481296,0.0084788029925187,0.4768391521197007,0.0002857486507726,,0.4942955374717712,0.5188043713569641,3208
Linear centroid,clean,5,0.6591703170096006,0.593941043518728,0.7243995905004732,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197,,0.3154833316802978,0.6537544131278992,3507
