method,stress,uncertainty,uec,ece_iou50,brier_iou50,aurc_unc,selective_jf_80
safeobjworld_r_full,blur,0.000534963431278,0.1363721045309464,0.3926323471298242,0.3932679951562549,0.481473235053873,0.5530506372451782
safeobjworld_r_full,blur,0.0004238301204554,0.2034697071402801,0.2386579623547312,0.2425077427477112,0.3880627067397366,0.6756128072738647
safeobjworld_r_no_stress,blur,0.0005490832643913,0.1611347963106406,0.386009681756211,0.3864441320634542,0.4725982125835635,0.5604273080825806
safeobjworld_r_no_stress,blur,0.0003991018580275,0.2054657227229883,0.2316406603922761,0.2349198284671284,0.3748499258619229,0.6879943609237671
safeobjworld_r_det,blur,0.0,,0.3929192318694847,0.3929995012030637,0.5018011870310203,0.5319647789001465
safeobjworld_r_det,blur,0.0,,0.2315513879137226,0.2349304864506521,0.393510284833562,0.6620072722434998
object_token_full,blur,0.0024793422838993,-0.2278088801751418,0.7697330738745277,0.755123108313268,0.7300328483486225,0.2808223664760589
object_token_full,blur,0.0025304018992251,-0.2778652033335259,0.7029111768773113,0.6979805347550313,0.6969637828563373,0.3335924446582794
object_token_det,blur,0.0,,0.794488175670405,0.7834874231396173,0.7184625577252833,0.2743344008922577
object_token_det,blur,0.0,,0.6384104455982411,0.6364135784337348,0.6312649745806049,0.352043479681015
safeobjworld_r_full,clean,0.0005487443651641,0.1437348151831637,0.3933110241302082,0.3939071298611729,0.4794328707800795,0.5537999868392944
safeobjworld_r_full,clean,0.0004306784171068,0.2161708388431686,0.2392141919751979,0.2430435785582373,0.3867594030434602,0.675437331199646
safeobjworld_r_no_stress,clean,0.0005638692555879,0.165687846542658,0.3867514239972517,0.3871121039117066,0.4711375556054146,0.5614064931869507
safeobjworld_r_no_stress,clean,0.0004040715869145,0.2059721053074849,0.2316927069675422,0.2349671188704744,0.3730762776432198,0.688389003276825
safeobjworld_r_det,clean,0.0,,0.393625883878838,0.3936805762629259,0.5020806684248639,0.5314640402793884
safeobjworld_r_det,clean,0.0,,0.2316099696938455,0.2349303379744113,0.3939021736909012,0.6618683934211731
object_token_full,clean,0.0024765104910084,-0.2267991031775036,0.770326842397377,0.7556893899256452,0.7299141697782692,0.2808734774589538
object_token_full,clean,0.0025288332756136,-0.2779027667091502,0.7037347862242564,0.6987382443909091,0.6972971200424253,0.3331754803657532
object_token_det,clean,0.0,,0.7932892849060365,0.7824286785431931,0.7162868898589878,0.2752457857131958
object_token_det,clean,0.0,,0.6374085395024106,0.6352972328136,0.6313053478418512,0.3515893816947937
safeobjworld_r_full,distractor,0.000540155231804,0.1261915092093149,0.3916211119130662,0.3921901064397688,0.4802094889694335,0.5540878176689148
safeobjworld_r_full,distractor,0.0004258604106788,0.1960968443070067,0.2376431084508599,0.2415758489032807,0.3872927448720298,0.6755295395851135
safeobjworld_r_no_stress,distractor,0.0005578437796851,0.153321435512467,0.3853779181875196,0.3858338808403942,0.4717343175280737,0.5621864795684814
safeobjworld_r_no_stress,distractor,0.0004000543018403,0.2037155048132731,0.230838791050053,0.2341007397866228,0.3724381342694657,0.6890832781791687
safeobjworld_r_det,distractor,0.0,,0.3933407082763544,0.3934155946434882,0.5014150961431374,0.5321672558784485
safeobjworld_r_det,distractor,0.0,,0.2311617087053375,0.2345116503258393,0.3931384541255465,0.6628293991088867
object_token_full,distractor,0.0024843410140558,-0.226722347510181,0.7702353292384052,0.7558288706434041,0.730489257716527,0.2806989848613739
object_token_full,distractor,0.0025319520992739,-0.2741637585325562,0.703474000175352,0.6985651347587548,0.6957274395829638,0.3340721130371094
object_token_det,distractor,0.0,,0.7909281590781604,0.7798951955581841,0.7153899251043638,0.2767820954322815
object_token_det,distractor,0.0,,0.6296073080842775,0.6277991369914764,0.6297423244656052,0.353834331035614
safeobjworld_r_full,frame_drop,0.00053149316079,0.1546646722048137,0.4047355383969007,0.4049644538737889,0.4816368102759985,0.5444298982620239
safeobjworld_r_full,frame_drop,0.0004236623912514,0.211958768215843,0.2535406267945502,0.2575404452162656,0.3943887098773387,0.6616021394729614
safeobjworld_r_no_stress,frame_drop,0.0005484362455674,0.1393801709213882,0.4277255523104471,0.427236408820176,0.5055211147737186,0.5210584998130798
safeobjworld_r_no_stress,frame_drop,0.0004168618802912,0.1976448111285574,0.2781080969997305,0.2816247264986062,0.4066425814752015,0.6432192921638489
safeobjworld_r_det,frame_drop,0.0,,0.4098192318047668,0.4094896796784198,0.515256936766012,0.515073835849762
safeobjworld_r_det,frame_drop,0.0,,0.2511235341442457,0.2546982276667412,0.4095511709057406,0.6431861519813538
object_token_full,frame_drop,0.0024801639064291,-0.2198982779551055,0.7744204566607303,0.759399139078478,0.7309012535421578,0.2792099416255951
object_token_full,frame_drop,0.002530090374453,-0.2757174004208031,0.7090365805515783,0.7037699588996446,0.7004698440560363,0.3305098116397857
object_token_det,frame_drop,0.0,,0.7962520372429096,0.7851434587391832,0.717733601557262,0.2738654315471649
object_token_det,frame_drop,0.0,,0.6363988022978299,0.6343105773963852,0.6311743483168826,0.350762277841568
safeobjworld_r_full,lowlight,0.0005473510006865,0.1180924975285868,0.3939287758564711,0.3944956663169171,0.4867165877855016,0.5543681979179382
safeobjworld_r_full,lowlight,0.000393969301556,0.1514012745259073,0.2375392737332864,0.2413677605122353,0.4005515918629256,0.6714035868644714
safeobjworld_r_no_stress,lowlight,0.000516415311214,0.1433041859979818,0.3857194917624876,0.3861908381939529,0.4778544627025592,0.560205340385437
safeobjworld_r_no_stress,lowlight,0.0003844927612926,0.2050174630673355,0.2317591240544043,0.2350437036769356,0.3814564073477328,0.6863772869110107
safeobjworld_r_det,lowlight,0.0,,0.3951057966287594,0.3951694655002204,0.5064520364560249,0.5256878733634949
safeobjworld_r_det,lowlight,0.0,,0.2314774368201561,0.2349761944399078,0.394577667759468,0.6601818203926086
object_token_full,lowlight,0.0024888039174073,-0.2346662610450696,0.7674543897409987,0.7523723153327766,0.7310911680534523,0.2812390923500061
object_token_full,lowlight,0.0025400599047843,-0.278014572656957,0.6986818078477259,0.6937304180369338,0.6962906582763069,0.3344647884368896
object_token_det,lowlight,0.0,,0.7901774163369526,0.7783275673439972,0.7045554865688366,0.2801452279090881
object_token_det,lowlight,0.0,,0.642199216515786,0.6398536049609242,0.6267332119208295,0.3540621697902679
safeobjworld_r_full,noise,0.0005494837247374,0.1472295448469542,0.3931147137540683,0.3937109975074592,0.4793638576310418,0.5541411638259888
safeobjworld_r_full,noise,0.0004291224214539,0.2163633191733603,0.239108569641755,0.2429350008609664,0.3870683160593018,0.6756778955459595
safeobjworld_r_no_stress,noise,0.0005638906597496,0.1661220504736986,0.3864708634218818,0.3868336483353094,0.4709370865782111,0.5615800023078918
safeobjworld_r_no_stress,noise,0.0004045502596306,0.2024909982773385,0.2318622806930868,0.2351315739014089,0.3724623965701655,0.6888583302497864
safeobjworld_r_det,noise,0.0,,0.3938854806292384,0.3939256888895558,0.5018887332440789,0.5317037105560303
safeobjworld_r_det,noise,0.0,,0.231811117048375,0.2351166217320999,0.3938623481503717,0.6619768142700195
object_token_full,noise,0.0024778740475897,-0.2263988809460926,0.769327912470349,0.7547221209342938,0.7296832571830645,0.281077891588211
object_token_full,noise,0.0025304772896681,-0.278282018770764,0.7031345697458157,0.6981704099925454,0.6973809210407846,0.3333122134208679
object_token_det,noise,0.0,,0.7930767162389439,0.7822485560862501,0.7156458152348195,0.2757169604301452
object_token_det,noise,0.0,,0.6376390984366347,0.6355579787657613,0.6309270528149917,0.3518815338611603
safeobjworld_r_full,occlusion,0.0007565672465244,0.1160822273646622,0.4224995511558436,0.4221580238339312,0.515338187855735,0.5263234376907349
safeobjworld_r_full,occlusion,0.0007995647380655,0.2304458912451575,0.2681236478382955,0.2716498140123518,0.4240653073427811,0.6415812969207764
safeobjworld_r_no_stress,occlusion,0.000690908538656,0.149398363404341,0.6081416967355104,0.6028164536355439,0.5995406799826883,0.4730828106403351
safeobjworld_r_no_stress,occlusion,0.0005121022573318,0.1968989850293626,0.4481031175451058,0.4471220411192429,0.5210032951634095,0.578277051448822
safeobjworld_r_det,occlusion,0.0,,0.4130324767154648,0.4129671976601988,0.522504584379212,0.5071339011192322
safeobjworld_r_det,occlusion,0.0,,0.2566787139384332,0.2602405979111897,0.4236586266099908,0.6274717450141907
object_token_full,occlusion,0.0023324377574676,-0.2002511643183502,0.7681466960011426,0.7554354064779686,0.7291174154897009,0.2814732193946838
object_token_full,occlusion,0.0023693212695974,-0.2605800206237433,0.7528942924977573,0.745398719840353,0.7073109154206377,0.3226035237312317
object_token_det,occlusion,0.0,,0.8023153754541107,0.7922794998286669,0.7281820829339086,0.2697398960590362
object_token_det,occlusion,0.0,,0.6659875549888014,0.6631660971302982,0.6397456974384359,0.346999853849411
