epoch,train_loss,val_loss,seconds,method,max_h
1,1.080162859450309,0.997029141522944,139.96795892715454,object_token_full,10
2,1.0025290707172687,0.8904827032238245,146.67167901992798,object_token_full,10
3,0.8596827535781404,0.7911744015291333,146.90803980827332,object_token_full,10
4,0.7896268192459556,0.7938474295660853,145.0817973613739,object_token_full,10
5,0.7604143498307567,0.7641858477145433,145.59519362449646,object_token_full,10
6,0.7356307801613184,0.8131595058366656,145.68608212471008,object_token_full,10
7,0.7137752253476787,0.7485084226354957,145.81229877471924,object_token_full,10
8,0.699447503385848,0.7288104733452201,145.51103734970093,object_token_full,10
9,0.6833175031815545,0.7693519350141287,145.41946697235107,object_token_full,10
10,0.669998295464045,0.7853491371497512,142.80838632583618,object_token_full,10
